category,sequence,n_views,full_psnr,quant_psnr,full_minus_quant_psnr,full_ssim,quant_ssim,full_minus_quant_ssim,full_lpips,quant_lpips,quant_minus_full_lpips
apple,110_13051_23361,9,11.57347170680063,11.443190294633059,0.13028141216757128,0.2717292540603214,0.2662084980143441,0.005520756045977293,0.6303002503183153,0.6266579230626425,-0.003642327255672817
apple,189_20393_38136,9,11.21932721254684,10.551861238586547,0.6674659739602937,0.36579835414886475,0.36821690532896256,-0.0024185511800978166,0.6480057769351535,0.6916672587394714,0.04366148180431795
ball,123_14363_28981,9,10.662878792767234,10.293236124743224,0.36964266802401013,0.254562152756585,0.28112685514820945,-0.02656470239162445,0.6221451850401031,0.6393615338537428,0.01721634881363976
ball,375_42693_85518,9,12.461239488052122,12.135537875783752,0.3257016122683698,0.547791063785553,0.5396472546789381,0.00814380910661483,0.5723859982358085,0.5841900342040591,0.011804035968250637
bench,415_57112_110099,9,12.02981977569999,11.541660062887006,0.4881597128129833,0.26079335312048596,0.25733300546805066,0.0034603476524353027,0.6211779961983362,0.6340529256396823,0.01287492944134605
bench,415_57121_110109,9,11.318556659751142,11.067986795489265,0.2505698642618768,0.28258296847343445,0.293510377407074,-0.010927408933639526,0.633488600452741,0.6499521368079715,0.016463536355230457
book,119_13962_28926,9,9.227926426493475,9.757255135913418,-0.5293287094199428,0.20565172036488852,0.2064171532789866,-0.0007654329140980853,0.6287076638804542,0.6145970986949073,-0.014110565185546875
book,247_26469_51778,9,11.228206259852545,10.553082101748922,0.6751241581036229,0.2943986803293228,0.27775730192661285,0.01664137840270996,0.6681296643283632,0.700254758199056,0.032125093870692845
bowl,69_5465_12831,9,9.458050356601879,9.198296196005403,0.2597541605964757,0.16986576302183998,0.1705145744813813,-0.0006488114595413208,0.6712253822220696,0.6690513292948405,-0.002174052927229164
bowl,70_5792_13401,9,8.909773571303768,10.201189402065463,-1.2914158307616947,0.29414637717935777,0.2952253686057197,-0.0010789914263619194,0.6686846945020888,0.6343253784709506,-0.034359316031138176
broccoli,372_41112_81867,9,10.139089272015518,9.369545435535167,0.7695438364803504,0.2220367971393797,0.23179251617855495,-0.009755719039175242,0.6071936935186386,0.6418729457590315,0.03467925224039292
broccoli,412_56288_108844,9,9.294968615795675,9.260942638837669,0.0340259769580058,0.38664483030637103,0.34982891215218437,0.036815918154186666,0.6719977988137139,0.6757171187135909,0.0037193198998769494
cake,374_42274_84517,9,7.605519437099052,7.4976326970374965,0.10788674006155574,0.24096788465976715,0.2520891096856859,-0.011121225025918724,0.6212657491366068,0.6326893303129408,0.011423581176334019
