study,N,method,psnr_db,ssim,lpips,mae,gt,render
cup,3,Full VGGT,13.772416052496439,0.6312586665153503,0.47209441661834717,0.15018298176544342,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/full/test/ours_3000/renders/00000.png
cup,3,W4A4,13.853984152762626,0.5890790820121765,0.49148979783058167,0.152112577514947,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w4a4/test/ours_3000/renders/00000.png
cup,3,W3A3 raw,13.947779566447906,0.5519347190856934,0.5018398761749268,0.14938233554974048,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_raw/test/ours_3000/renders/00000.png
cup,3,W3A3 + corrector,13.95818768801216,0.5611109137535095,0.5056784152984619,0.14936011589030618,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected/test/ours_3000/renders/00000.png
cup,3,W3A3 + confidence,11.880418746893733,0.43618977069854736,0.668322741985321,0.20462496488227294,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_confidence/test/ours_3000/renders/00000.png
cup,3,W3A3 + corr. + conf.,12.330995736337462,0.4520680606365204,0.6716147065162659,0.1943342400334053,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png
cup,6,Full VGGT,16.6312733328542,0.7017928957939148,0.36898839473724365,0.09843649706184458,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/full/test/ours_3000/renders/00000.png
cup,6,W4A4,15.441143293324453,0.5952481031417847,0.4000661075115204,0.11206691199561673,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w4a4/test/ours_3000/renders/00000.png
cup,6,W3A3 raw,15.374020390806386,0.5243205428123474,0.45398467779159546,0.11730988601099238,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_raw/test/ours_3000/renders/00000.png
cup,6,W3A3 + corrector,15.380214604813533,0.5325567126274109,0.42317667603492737,0.11539192370115882,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected/test/ours_3000/renders/00000.png
cup,6,W3A3 + confidence,15.680986738196761,0.5467677712440491,0.4370405972003937,0.11379655451666115,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_confidence/test/ours_3000/renders/00000.png
cup,6,W3A3 + corr. + conf.,15.51118781295999,0.5455648303031921,0.4076855480670929,0.11389691126463782,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png
cup,9,Full VGGT,12.770426585246035,0.6368065476417542,0.4535640478134155,0.1542756873579018,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/full/test/ours_3000/renders/00000.png
