N,tag,method,psnr_db,mae,number_of_3dgs_test_views,fixed_target_gt,fixed_target_render,model_dir
3,N03,Full VGGT,13.772416184937406,0.15018298042372535,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/full/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/full
3,N03,W4A4,13.853984271783453,0.15211257622113855,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w4a4/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w4a4
3,N03,W3A3 raw,13.947779707510326,0.14938233389289485,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_raw/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_raw
3,N03,W3A3 + corrector,13.95818783762579,0.14936011414548775,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected
3,N03,W3A3 + confidence,11.88041890185364,0.20462496174510708,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_confidence/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_confidence
3,N03,W3A3 + corr. + conf.,12.33099588593914,0.19433423722544785,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N03/models/w3a3_corrected_confidence
6,N06,Full VGGT,16.63127342696391,0.0984364965854859,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/full/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/full
6,N06,W4A4,15.441143426824908,0.11206691101081293,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w4a4/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w4a4
6,N06,W3A3 raw,15.374020527687328,0.1173098847525375,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_raw/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_raw
6,N06,W3A3 + corrector,15.380214734060262,0.11539192253477966,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N06/models/w3a3_corrected
