method,frame,psnr_db,ssim,lpips,mae,gt,render
Full VGGT,4,22.29718729279089,0.7146391272544861,0.3258095383644104,0.049911793853305506,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/full_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/full_model/test/ours_3000/renders/00000.png
Full VGGT,7,24.905197539486387,0.7312846779823303,0.2893252968788147,0.03464333879752156,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/full_model/test/ours_3000/gt/00001.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/full_model/test/ours_3000/renders/00001.png
Full VGGT,12,16.661566836015606,0.7158296704292297,0.3441535532474518,0.08253673554758763,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/full_model/test/ours_3000/gt/00002.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/full_model/test/ours_3000/renders/00002.png
W4A4,4,21.3314318118584,0.585513710975647,0.3974803686141968,0.057537936801655296,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w4a4_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w4a4_model/test/ours_3000/renders/00000.png
W4A4,7,21.0151734976753,0.5956762433052063,0.36786848306655884,0.05067306214854331,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w4a4_model/test/ours_3000/gt/00001.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w4a4_model/test/ours_3000/renders/00001.png
W4A4,12,15.344184512510656,0.625257670879364,0.39498093724250793,0.09816741001535281,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w4a4_model/test/ours_3000/gt/00002.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w4a4_model/test/ours_3000/renders/00002.png
W3A3 raw,4,19.420480571928017,0.4630746841430664,0.5527767539024353,0.07261190407977394,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_raw_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_raw_model/test/ours_3000/renders/00000.png
W3A3 raw,7,19.420729234093397,0.5487714409828186,0.4663908779621124,0.0625307979089018,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_raw_model/test/ours_3000/gt/00001.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_raw_model/test/ours_3000/renders/00001.png
W3A3 raw,12,15.29469689922059,0.522977352142334,0.52298903465271,0.10738803522939573,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_raw_model/test/ours_3000/gt/00002.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_raw_model/test/ours_3000/renders/00002.png
W3A3 + corrector,4,20.246256866038628,0.49760034680366516,0.510542094707489,0.0663192431946445,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_corrector_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/final_visual_stability_20260914/w3a3_corrector_model/test/ours_3000/renders/00000.png
