category,sequence,frames_analyzed,groups_analyzed,cue,label,coverage,top_disagreement_share,top_disagreement_enrichment,top_excess_share,top_excess_enrichment,excess_mass_share,mean_excess_enrichment
toytruck,190_20494_39385,188,32,object_boundary,Object boundary,0.0593953444650488,0.11072365313690219,1.8641806716359317,0.09324282225728327,1.569867522397349,0.062132314778836684,1.0460805529194035
toytruck,190_20494_39385,188,32,rgb_edge,RGB edge,0.1000426776639986,0.12380287210202093,1.2375005846786993,0.10826156428061784,1.0821538048414001,0.10273829162343077,1.0269446402512896
toytruck,190_20494_39385,188,32,corner,Harris corner,0.05924303195395839,0.07360138278949643,1.2423635381574807,0.0731592117295923,1.2348998576988612,0.06087785654899377,1.0275952216001691
toytruck,190_20494_39385,188,32,low_texture,Low texture,0.20004162203273362,0.14389150730084715,0.7193078412316692,0.18515913133485412,0.9256030292763562,0.202739739563025,1.0134877807072062
toytruck,190_20494_39385,188,32,high_texture,High texture,0.2000406166696241,0.27005597483644694,1.350005710502564,0.217628556210996,1.0879218422447634,0.1981784468092049,0.9906910411924261
toytruck,190_20494_39385,188,32,thin_structure,Thin/protrusion heuristic,1.5583128197368865e-05,5.024671135274196e-06,0.32244303400665003,1.507401340582259e-05,0.9673291020199503,1.3255217639048655e-05,0.8506133987453646
toytruck,190_20494_39385,188,32,high_depth_gradient,High GT depth gradient,0.04562388059101276,0.061074877649257855,1.338660299345267,0.049472911997909735,1.0843644020858494,0.040838692638813776,0.8951165948575274
toytruck,190_20494_39385,188,32,smooth_flat,Smooth/flat interior,0.029272654977980036,0.016867821001115477,0.5762313330924056,0.022193972404506126,0.7581810539973654,0.028069399559402408,0.9588948997115991
bench,415_57112_110099,196,33,object_boundary,Object boundary,0.04083164952984895,0.0913002286217107,2.2360161706170594,0.07219803444711065,1.7681880423256497,0.05610370408328195,1.3740249225608372
bench,415_57112_110099,196,33,rgb_edge,RGB edge,0.10002413661648914,0.13092979127134724,1.3089819687557618,0.12469465370693773,1.2466456389925151,0.10667167520332578,1.0664593448311832
bench,415_57112_110099,196,33,corner,Harris corner,0.07594718670725795,0.09996464056186417,1.3162388877837259,0.10111449709971632,1.3313791001826962,0.0811556423005074,1.0685799674624643
bench,415_57112_110099,196,33,low_texture,Low texture,0.20003288411508252,0.1423581776123472,0.7116738742338283,0.14460390681303495,0.7229006743203369,0.18980258026338384,0.948856889721127
bench,415_57112_110099,196,33,high_texture,High texture,0.2000210047960051,0.2421122810616469,1.210434280682518,0.2328999327900756,1.1643773764040564,0.20513037087284886,1.0255441476361677
bench,415_57112_110099,196,33,thin_structure,Thin/protrusion heuristic,7.964543472368164e-05,0.00015925243129877106,1.9995173841573521,0.00016465081880042432,2.0672976344677707,9.396817293426567e-05,1.1798312515999783
bench,415_57112_110099,196,33,high_depth_gradient,High GT depth gradient,0.03886670216063215,0.0675203316769281,1.737228216530268,0.05717432203000963,1.471036101640781,0.04172979127031724,1.073664318054365
bench,415_57112_110099,196,33,smooth_flat,Smooth/flat interior,0.04874516592708906,0.017061603698975115,0.3500163221209491,0.019941643431107128,0.409099918973196,0.044248211001754925,0.9077456227749744
toaster,372_41229_82130,202,34,object_boundary,Object boundary,0.048187212830197626,0.10979608653200364,2.278531587184835,0.07167730538482811,1.48747564291392,0.07579589949736104,1.572946328405651
toaster,372_41229_82130,202,34,rgb_edge,RGB edge,0.10004986032896523,0.0877115750382373,0.8766786355307294,0.09842930755207892,0.9838025483338215,0.09970933569334561,0.9965964506646988
toaster,372_41229_82130,202,34,corner,Harris corner,0.049362290345222076,0.052933972220811254,1.0723564861073123,0.04854867566301507,0.9835174851791342,0.04990882128900865,1.011071831148116
toaster,372_41229_82130,202,34,low_texture,Low texture,0.20004607704239596,0.1895441436255171,0.9475024275799562,0.21070305841982584,1.0532726336601508,0.23254437988838753,1.1624540872106388
toaster,372_41229_82130,202,34,high_texture,High texture,0.20004607704239596,0.17365661491226586,0.868083081056684,0.21885846836321768,1.0940402911117062,0.20090439186936687,1.0042905856473705
toaster,372_41229_82130,202,34,thin_structure,Thin/protrusion heuristic,0.0001518961324082539,0.00028219411568829964,1.857809749426941,9.594599933402188e-05,0.63165531480516,0.00029873833295040406,1.9667277119833426
toaster,372_41229_82130,202,34,high_depth_gradient,High GT depth gradient,0.03221553214184275,0.04113261430272656,1.2767945015349278,0.04587911932860376,1.424130420276815,0.0345840325183835,1.073520448649192
toaster,372_41229_82130,202,34,smooth_flat,Smooth/flat interior,0.019318477628071307,0.011925523328987544,0.6173117550245676,0.015436018128149992,0.7990287032618042,0.01987808173830645,1.0289672986147722
donut,391_47032_93657,198,33,object_boundary,Object boundary,0.038370858746334745,0.1253200961273293,3.2660227115532074,0.05899836723616419,1.5375826646517214,0.03612497621545292,0.9414690573977222
donut,391_47032_93657,198,33,rgb_edge,RGB edge,0.10003774728412232,0.10738158084807417,1.0734106251222777,0.11282704522274313,1.1278447214759573,0.1016679655504176,1.016296031353697
